VendorNumber,VendorName,Brand,Description,PurchasePrice,TotalPurchaseQuantity,TotalPurchaseDollars,Volume,ActualPrice,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseratio
1587,"VINEYARD BRANDS INC",16796,"Delamotte Brut",24.13,5,120.65,750,39.99,3883.889999999994,2589.259999999997,111,12.269999999999996,6070.089999999999,3763.239999999994,96.89357834542173,22.2,32.19138002486526
1392,"CONSTELLATION BRANDS INC",6686,"Taylor Lake Country Red",3.26,37,120.62,1500,4.99,119.75999999999999,49.90000000000001,24,5.370000000000001,79528.99,-0.8600000000000136,-0.7181028724115011,0.6486486486486487,0.9928701707842811
9552,"M S WALKER INC",24206,"Flint & Steel Svgn Bl Napa V",9.99,12,119.88,750,14.99,119.91999999999999,119.91999999999999,8,0.88,55551.819999999985,0.03999999999999204,0.03335557038024687,0.6666666666666666,1.0003336670003335
9552,"M S WALKER INC",26047,"Tamellini Soave DOC",9.99,12,119.88,750,14.99,179.88,14.99,12,1.35,55551.819999999985,60,33.3555703802535,1,1.5005005005005005
7153,"PINE STATE TRADING CO",22149,"Paso Robles Svgn Bl",4.99,24,119.76,750,7.29,29.16,29.16,4,0.44,15884.819999999998,-90.60000000000001,-310.69958847736626,0.16666666666666666,0.24348697394789579
9552,"M S WALKER INC",20744,"Banshee Chard",8.55,14,119.69999999999999,750,19.99,670.6400000000001,457.7500000000001,36,3.9899999999999998,55551.819999999985,550.94,82.15137778838124,2.5714285714285716,5.602673350041773
90017,"THE IMPORTED GRAPE LLC",25746,"Riojana Malbec",4.96,24,119.04,750,7.49,179.76,14.98,24,2.7,80.03,60.719999999999985,33.778371161548726,1,1.5100806451612903
9552,"M S WALKER INC",10011,"Long Lake Merlot Cal",3.3,36,118.80000000000001,750,4.99,89.84999999999998,77.87,15,1.6500000000000006,55551.819999999985,-28.95000000000003,-32.22036727879804,0.4166666666666667,0.756313131313131
6280,UNCORKED,20105,"Jonathan Edwards Znfdl Lodi",19.79,6,118.74,750,29.49,176.94,88.47,6,0.66,15.260000000000002,58.2,32.89250593421499,1,1.4901465386558868
6213,"MHW LTD",4705,"Blue Chair Bay Banana Rum",0.76,156,118.56,50,0.99,3323.429999999935,1416.6900000000114,3357,173.04999999999944,9621.580000000002,3204.869999999935,96.43260125833845,21.51923076923077,28.03162955465532
1392,"CONSTELLATION BRANDS INC",25915,"Hogue Cellars Chard Wash",4.39,27,118.53,750,9.99,1161.7100000000007,460.7900000000004,179,19.969999999999995,79528.99,1043.1800000000007,89.796937273502,6.62962962962963,9.800978655192784
653,"STATE WINE & SPIRITS",42952,"Asamai Shuzo Heavens Door",19.73,6,118.38,720,29.99,119.96,119.96,4,0.44,8014.98,1.5799999999999983,1.3171057019006323,0.6666666666666666,1.0133468491299207
2242,"DELICATO VINEYARDS INC",25523,"Z Alexander Brown Uncage Red",9.86,12,118.32,750,14.99,179.88,59.96,12,1.35,7982.649999999999,61.56,34.2228152101401,1,1.5202839756592292
7153,"PINE STATE TRADING CO",25842,"Ch Bois du Fil Brdx",9.86,12,118.32,750,14.99,179.88,14.99,12,1.35,15884.819999999998,61.56,34.2228152101401,1,1.5202839756592292
1392,"CONSTELLATION BRANDS INC",6215,"Taylor Tawny Port",3.28,36,118.08,750,4.99,94.80999999999997,79.84,19,2.1000000000000005,79528.99,-23.270000000000024,-24.54382449108747,0.5277777777777778,0.8029302168021678
2242,"DELICATO VINEYARDS INC",16170,"Domino Moscato",3.28,36,118.08,750,4.99,143.76,29.950000000000003,24,2.6900000000000004,7982.649999999999,25.679999999999993,17.863105175292148,0.6666666666666666,1.217479674796748
9815,"WINE GROUP INC",19725,"Cutler Creek Merlot",2.46,48,118.08,750,3.79,144.01999999999998,60.63999999999999,38,4.2200000000000015,27100.409999999996,25.939999999999984,18.01138730731842,0.7916666666666666,1.2196815718157181
10754,"PERFECTA WINES",18662,"Hatzimichalis Kapnias Red",14.76,8,118.08,750,29.99,373.83,65.97,17,1.9100000000000001,28720.52,255.75,68.41344996388733,2.125,3.1659044715447155
7153,"PINE STATE TRADING CO",5691,"P & J Cold Soaked Pineapples",7.87,15,118.05,375,13.99,1251.1000000000004,943.3200000000005,90,35.21000000000002,15884.819999999998,1133.0500000000004,90.56430341299657,6,10.59805167301991
